#Z	A	N	Yield	Uncertainty
35	94	59	4.14E-08	1.49E-08
36	94	58	5.20E-05	1.85E-05
37	94	57	0.002553	6.56E-04
38	94	56	0.0069259	9.38E-04
39	94	55	0.0011946	4.46E-04
40	94	54	1.80E-05	6.49E-06
41	94	53	3.29E-09	1.19E-09
41	94	53	4.67E-09	1.68E-09
35	95	60	1.26E-09	4.57E-10
36	95	59	4.62E-06	1.68E-06
37	95	58	9.42E-04	2.95E-04
38	95	57	0.0078883	0.0011447
39	95	56	0.0033193	0.0011
40	95	55	1.57E-04	5.76E-05
41	95	54	6.16E-08	2.24E-08
41	95	54	2.66E-07	9.68E-08
42	95	53	2.03E-11	7.40E-12
35	96	61	2.26E-11	7.99E-12
36	96	60	3.80E-07	1.34E-07
37	96	59	9.86E-05	3.39E-05
37	96	59	9.86E-05	3.39E-05
38	96	58	0.0072789	0.0014169
39	96	57	0.0024284	6.19E-04
39	96	57	0.0043681	0.0011128
40	96	56	0.0010418	3.91E-04
41	96	55	6.43E-06	2.28E-06
42	96	54	1.83E-09	6.47E-10
36	97	61	1.27E-08	4.68E-09
37	97	60	2.83E-05	1.04E-05
38	97	59	0.0024776	6.90E-04
39	97	58	0.001952	2.32E-04
39	97	58	0.0021313	2.54E-04
39	97	58	0.0072645	8.64E-04
40	97	57	0.0025565	0.0010296
41	97	56	1.40E-05	5.21E-06
41	97	56	6.07E-05	2.26E-05
42	97	55	5.96E-08	2.20E-08
43	97	54	1.80E-12	6.63E-13
36	98	62	4.22E-10	1.60E-10
37	98	61	1.31E-06	4.97E-07
37	98	61	1.31E-06	4.97E-07
38	98	60	8.85E-04	2.99E-04
39	98	59	0.0024656	4.45E-04
39	98	59	0.010369	0.0018715
40	98	58	0.0064434	0.0024421
41	98	57	1.34E-04	5.27E-05
41	98	57	4.05E-04	1.59E-04
42	98	56	1.94E-06	7.34E-07
43	98	55	2.04E-10	7.74E-11
36	99	63	6.76E-12	2.34E-12
37	99	62	1.90E-07	6.56E-08
38	99	61	1.62E-04	5.45E-05
39	99	60	0.010255	0.0019153
40	99	59	0.013201	0.0022756
41	99	58	5.07E-04	2.01E-04
41	99	58	0.0021943	8.70E-04
42	99	57	3.06E-05	1.06E-05
43	99	56	2.72E-09	9.40E-10
43	99	56	1.17E-08	4.06E-09
37	100	63	5.19E-09	2.25E-09
38	100	62	1.92E-05	8.26E-06
39	100	61	0.0013963	4.66E-04
39	100	61	0.0013963	4.66E-04
40	100	60	0.022347	0.0037558
41	100	59	8.91E-04	5.45E-04
41	100	59	0.0037454	0.0022907
42	100	58	2.88E-04	1.28E-04
43	100	57	3.86E-07	1.67E-07
44	100	56	2.40E-11	1.04E-11
37	101	64	1.59E-10	5.36E-11
38	101	63	1.65E-06	5.55E-07
39	101	62	8.92E-04	2.75E-04
40	101	61	0.022518	0.0034095
41	101	60	0.014251	0.0035582
42	101	59	0.0018531	6.80E-04
43	101	58	1.16E-05	3.91E-06
44	101	57	2.04E-09	6.86E-10
37	102	65	1.65E-12	6.85E-13
38	102	64	7.75E-08	3.22E-08
39	102	63	5.43E-05	2.21E-05
39	102	63	5.43E-05	2.21E-05
40	102	62	0.011769	0.0028298
41	102	61	0.01286	0.0025523
41	102	61	0.01286	0.0025523
42	102	60	0.0046562	0.0029934
43	102	59	5.99E-05	2.51E-05
43	102	59	5.99E-05	2.51E-05
44	102	58	9.46E-08	3.93E-08
45	102	57	1.39E-12	5.78E-13
38	103	65	1.90E-09	7.32E-10
39	103	64	1.19E-05	4.57E-06
40	103	63	0.0027493	8.67E-04
41	103	62	0.0444	0.0049768
42	103	61	0.0075505	0.0047942
43	103	60	0.0010507	4.39E-04
44	103	59	7.35E-07	2.84E-07
44	103	59	1.78E-06	6.85E-07
45	103	58	3.52E-11	1.36E-11
